name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"The Wandering Emperor",4,"Legendary Planeswalker",W,"pneo","42p",mythic,w,Not Owned,,false,,,"","",
"Elspeth, Sun's Champion",6,"Legendary Planeswalker - Elspeth",W,"moc","182",mythic,w,Owned,Non-foil,false,,,"","",110812
"Enlightened Tutor",1,"Instant",W,"mir","14",uncommon,w,Not Owned,,false,,,"","",6947
"Ephemerate",1,"Instant",W,"mh1","7",common,w,Not Owned,,false,,,"","",72386
"Orim's Chant",1,"Instant",W,"pls","11",rare,w,Owned,Non-foil,false,,,"","",15195
"Path to Exile",1,"Instant",W,"con","15",uncommon,w,Not Owned,,false,,,"","",31733
"Swords to Plowshares",1,"Instant",W,"lea","40",uncommon,w,Not Owned,,false,,,"","",
"Reprieve",2,"Instant",W,"ltr","26",uncommon,w,Not Owned,,false,,,"","",111962
"Oust",1,"Sorcery",W,"roe","40",uncommon,w,Not Owned,,false,,,"","",36682
"Balance",2,"Sorcery",W,"lea","3",rare,w,Not Owned,,false,,,"","",
"Council's Judgment",3,"Sorcery",W,"cns","16",rare,w,Not Owned,,false,,,"","",
"Ravages of War",4,"Sorcery",W,"ptk","17",rare,w,Not Owned,,false,,,"","",
"Wrath of God",4,"Sorcery",W,"2xm","383",rare,w,Not Owned,,false,,,"","",
"Farewell",6,"Sorcery",W,"neo","13",rare,w,Not Owned,,false,,,"","",96936
"Terminus",6,"Sorcery",W,"avr","38",rare,w,Not Owned,,false,,,"","",43815
"Mox Pearl",0,"Artifact",W,"lea","263",rare,w,Not Owned,,false,,,"","",651
"Portable Hole",1,"Artifact",W,"afr","33",uncommon,w,Not Owned,,false,,,"","",91568
"Touch the Spirit Realm",3,"Enchantment",W,"neo","40",uncommon,w,Owned,Non-foil,false,,,"","",96994
"Angelic Destiny",4,"Enchantment - Aura",W,"m12","3",mythic,w,Not Owned,,false,,,"","",41427
"Humility",4,"Enchantment",W,"tmp","24",rare,w,Not Owned,,false,,,"maybeout","",9931
"Moat",4,"Enchantment",W,"leg","28",rare,w,Not Owned,,false,,,"","",
"Parallax Wave",4,"Enchantment",W,"nem","17",rare,w,Not Owned,,false,,,"","",13747
"Faerie Mastermind",2,"Creature - Faerie Rogue",U,"mom","58",rare,u,Not Owned,,false,,,"","",109930
"Gilded Drake",2,"Creature - Drake",U,"usg","76",rare,u,Not Owned,,false,,,"","",11975
"Jace, Vryn's Prodigy",2,"Legendary Creature - Human Wizard",U,"ori","60",mythic,u,Not Owned,,false,,,"","",57880
"Ledger Shredder",2,"Creature - Bird Advisor",U,"snc","46",rare,u,Not Owned,,false,,,"","",98311
"Phantasmal Image",2,"Creature - Illusion",U,"m12","72",rare,u,Not Owned,,false,,,"","",41369
"Snapcaster Mage",2,"Creature - Human Wizard",U,"isd","78",rare,u,Not Owned,,false,,,"","",42512
"Thassa's Oracle",2,"Creature - Merfolk Wizard",U,"thb","73",rare,u,Not Owned,,false,,,"","",79270
"Emry, Lurker of the Loch",3,"Legendary Creature - Merfolk Wizard",U,"eld","43",rare,u,Not Owned,,false,,,"","",78190
"Forensic Gadgeteer",3,"Creature - Vedalken Artificer Detective",U,"mkm","57",rare,u,Not Owned,,false,,,"","",121600
"Hullbreacher",3,"Creature - Merfolk Pirate",U,"cmr","74",rare,u,Not Owned,,false,,,"","",84930
"Spellseeker",3,"Creature - Human Wizard",U,"bbd","41",rare,u,Not Owned,,false,,,"","",68810
"Tishana's Tidebinder",3,"Creature - Merfolk Wizard",U,"lci","81",rare,u,Not Owned,,false,,,"","",117962
"True-Name Nemesis",3,"Creature - Merfolk Rogue",U,"c13","63",rare,u,Not Owned,,false,,,"","",51356
"Archaeomancer",4,"Creature - Human Wizard",U,"m13","41",common,u,Not Owned,,false,,,"","",45496
"Displacer Kitten",4,"Creature - Cat Beast",U,"clb","63",rare,u,Not Owned,,false,,,"","",100124
"Phyrexian Metamorph",4,"Artifact Creature - Phyrexian Shapeshifter",U,"nph","42",rare,u,Not Owned,,false,,,"","",39734
"Subtlety",4,"Creature - Elemental Incarnation",U,"mh2","67",mythic,u,Not Owned,,false,,,"","",90507
"Urza, Lord High Artificer",4,"Legendary Creature - Human Artificer",U,"mh1","75",mythic,u,Not Owned,,false,,,"","",72522
"Venser, Shaper Savant",4,"Legendary Creature - Human Wizard",U,"fut","46",rare,u,Not Owned,,false,,,"","",26594
"Kappa Cannoneer",6,"Artifact Creature - Turtle Warrior",U,"nec","14",rare,u,Not Owned,,false,,,"","",97776
"Torrential Gearhulk",6,"Artifact Creature - Construct",U,"kld","67",mythic,u,Not Owned,,false,,,"","",61917
"Nulldrifter",7,"Creature - Eldrazi Elemental",U,"mh3","13",rare,u,Not Owned,,false,,,"","",126043
"Narset, Parter of Veils",3,"Legendary Planeswalker - Narset",U,"war","61",uncommon,u,Not Owned,,false,,,"","",71728
"Jace, the Mind Sculptor",4,"Legendary Planeswalker - Jace",U,"wwk","31",mythic,u,Not Owned,,false,,,"","",35591
"Jace, Wielder of Mysteries",4,"Legendary Planeswalker - Jace",U,"war","54",rare,u,Not Owned,,false,,,"","",71714
"Ancestral Recall",1,"Instant",U,"lea","47",rare,u,Not Owned,,false,,,"","",315
"Brainstorm",1,"Instant",U,"ice","61",common,u,Not Owned,,false,,,"","",24401
"Flusterstorm",1,"Instant",U,"cmd","46",rare,u,Not Owned,,false,,,"","",40625
"Mystical Tutor",1,"Instant",U,"dmr","60",rare,u,Owned,Non-foil,false,,,"","",107609
"Stern Scolding",1,"Instant",U,"ltr","71",uncommon,u,Not Owned,,false,,,"","",112052
"Stifle",1,"Instant",U,"scg","52",rare,u,Not Owned,,false,,,"","",18902
"Brain Freeze",2,"Instant",U,"scg","29",uncommon,u,Not Owned,,false,,,"","",18932
"Counterspell",2,"Instant",U,"mh2","267",uncommon,u,Owned,Non-foil,false,,,"","",90957
"Daze",2,"Instant",U,"nem","30",common,u,Not Owned,,false,,,"","",14009
"Flash",2,"Instant",U,"mir","66",rare,u,Not Owned,,false,,,"","",6981
"Mana Drain",2,"Instant",U,"leg","65",uncommon,u,Not Owned,,false,,,"","",
"Mana Leak",2,"Instant",U,"sth","36",common,u,Not Owned,,false,,,"","",10307
"Memory Lapse",2,"Instant",U,"plst","EMA-60",common,u,Not Owned,,false,,,"","",
"Negate",2,"Instant",U,"mor","43",common,u,Not Owned,,false,,,"","",29010
"Remand",2,"Instant",U,"rav","63",uncommon,u,Not Owned,,false,,,"","",23174
"Force of Negation",3,"Instant",U,"mh1","52",rare,u,Not Owned,,false,,,"","",72476
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Not Owned,,false,,,"","",12615
"Fact or Fiction",4,"Instant",U,"clb","720",uncommon,u,Owned,Non-foil,false,,,"","",
"Paradoxical Outcome",4,"Instant",U,"kld","60",rare,u,Not Owned,,false,,,"","",61909
"Force of Will",5,"Instant",U,"all","28",uncommon,u,Not Owned,,false,,,"","",
"Mystic Confluence",5,"Instant",U,"tsr","312",special,u,Owned,Non-foil,false,,,"","",87001
"Sublime Epiphany",6,"Instant",U,"m21","74",rare,u,Not Owned,,false,,,"","",81375
"Nexus of Fate",7,"Instant",U,"m19","306",mythic,u,Not Owned,,false,,,"","",68145
"Gitaxian Probe",1,"Sorcery",U,"nph","35",common,u,Not Owned,,false,,,"","",39976
"Ponder",1,"Sorcery",U,"lrw","79",common,u,Not Owned,,false,,,"","",28339
"Preordain",1,"Sorcery",U,"otc","107",common,u,Owned,Non-foil,false,,,"","",124673
"Time Walk",2,"Sorcery",U,"lea","83",rare,u,Not Owned,,false,,,"","",817
"Show and Tell",3,"Sorcery",U,"usg","96",rare,u,Not Owned,,false,,,"","",12139
"Timetwister",3,"Sorcery",U,"lea","84",rare,u,Not Owned,,false,,,"","",819
"Tinker",3,"Sorcery",U,"ulg","45",uncommon,u,Not Owned,,false,,,"","",12623
"Bribery",5,"Sorcery",U,"mmq","62",rare,u,Not Owned,,false,,,"","",13563
"Capture of Jingzhou",5,"Sorcery",U,"ptk","38",rare,u,Not Owned,,false,,,"","",
"Lórien Revealed",5,"Sorcery",U,"ltr","60",common,u,Not Owned,,false,,,"","",112030
"Temporal Fissure",5,"Sorcery",U,"scg","53",common,u,Owned,Non-foil,false,,,"","",18860
"Echo of Eons",6,"Sorcery",U,"mh1","46",mythic,u,Not Owned,,false,,,"","",72464
"Time Spiral",6,"Sorcery",U,"usg","103",rare,u,Not Owned,,false,,,"","",12385
"Upheaval",6,"Sorcery",U,"ody","113",rare,u,Not Owned,,false,,,"","",16811
"Mox Sapphire",0,"Artifact",U,"lea","265",rare,u,Not Owned,,false,,,"","",655
"Aether Spellbomb",1,"Artifact",U,"mrd","141",common,u,Not Owned,,false,,,"","",19871
"Dress Down",2,"Enchantment",U,"mh2","39",rare,u,Not Owned,,false,,,"","",90447
"Overburden",2,"Enchantment",U,"pcy","39",rare,u,Not Owned,,false,,,"","",14267
"Search for Azcanta",2,"Legendary Enchantment",U,"xln","74",rare,u,Owned,Non-foil,false,,,"","",65160
"Freed from the Real",3,"Enchantment - Aura",U,"a25","58",uncommon,u,Owned,Non-foil,false,,,"","",67030
"Opposition",4,"Enchantment",U,"uds","40",rare,u,Not Owned,,false,,,"","",12821
"Treachery",5,"Enchantment - Aura",U,"uds","50",rare,u,Not Owned,,false,,,"","",13039
"Mind Over Matter",6,"Enchantment",U,"exo","40",rare,u,Owned,Non-foil,false,,,"","",10607
"Omniscience",10,"Enchantment",U,"m13","63",mythic,u,Not Owned,,false,,,"","",45272
"Nethergoyf",1,"Creature - Lhurgoyf",B,"mh3","103",mythic,b,Not Owned,,false,,,"","",126223
"Stitcher's Supplier",1,"Creature - Zombie",B,"m19","121",uncommon,b,Not Owned,,false,,,"","",68403
"Tinybones, the Pickpocket",1,"Legendary Creature - Skeleton Rogue",B,"otj","109",mythic,b,Not Owned,,false,,,"","",124129
"Caustic Bronco",2,"Creature - Snake Horse Mount",B,"otj","82",rare,b,Not Owned,,false,,,"","",124075
"Dark Confidant",2,"Creature - Human Wizard",B,"rav","81",rare,b,Not Owned,,false,,,"","",23084
"Dauthi Voidwalker",2,"Creature - Dauthi Rogue",B,"mh2","81",rare,b,Not Owned,,false,,,"","",90535
"Emperor of Bones",2,"Creature - Skeleton Noble",B,"mh3","90",rare,b,Not Owned,,false,,,"","",126197
"Orcish Bowmasters",2,"Creature - Orc Archer",B,"ltr","103",rare,b,Not Owned,,false,,,"","",112116
"Tourach, Dread Cantor",2,"Legendary Creature - Human Cleric",B,"mh2","102",mythic,b,Not Owned,,false,,,"","",90577
"Vampire Hexmage",2,"Creature - Vampire Shaman",B,"zen","114",uncommon,b,Not Owned,,false,,,"","",34690
"Barrowgoyf",3,"Creature - Lhurgoyf",B,"m3c","102",rare,b,Not Owned,,false,,,"","",127403
"Drana, Liberator of Malakir",3,"Legendary Creature - Vampire Ally",B,"bfz","109",mythic,b,Not Owned,,false,,,"","",58405
"Ophiomancer",3,"Creature - Human Shaman",B,"c13","84",rare,b,Not Owned,,false,,,"","",51344
"Opposition Agent",3,"Creature - Human Rogue",B,"cmr","141",rare,b,Not Owned,,false,,,"","",85064
"Braids, Cabal Minion",4,"Legendary Creature - Human Minion",B,"ody","117",rare,b,Not Owned,,false,,,"","",16749
"Grief",4,"Creature - Elemental Incarnation",B,"mh2","87",mythic,b,Not Owned,,false,,,"","",90547
"Sheoldred, the Apocalypse",4,"Legendary Creature - Phyrexian Praetor",B,"dmu","107",mythic,b,Not Owned,,false,,,"","",102690
"Necron Deathmark",5,"Artifact Creature - Necron",B,"40k","42",rare,b,Not Owned,,false,,,"","",108556
"Sheoldred",5,"Legendary Creature - Phyrexian Praetor",B,"mom","125",mythic,b,Not Owned,,false,,,"","",110096
"Grave Titan",6,"Creature - Giant",B,"m11","97",mythic,b,Not Owned,,false,,,"","",37374
"Troll of Khazad-dûm",6,"Creature - Troll",B,"ltr","111",common,b,Not Owned,,false,,,"","",112132
"Archon of Cruelty",8,"Creature - Archon",B,"mh2","75",mythic,b,Owned,Non-foil,false,,,"","",90523
"Griselbrand",8,"Legendary Creature - Demon",B,"phel","106",mythic,b,Not Owned,,false,,,"","",
"Liliana of the Veil",3,"Legendary Planeswalker - Liliana",B,"isd","105",mythic,b,Not Owned,,false,,,"","",42616
"Dark Ritual",1,"Instant",B,"lea","98",common,b,Not Owned,,false,,,"","",
"Entomb",1,"Instant",B,"ody","132",rare,b,Not Owned,,false,,,"","",17047
"Fatal Push",1,"Instant",B,"aer","57",uncommon,b,Not Owned,,false,,,"","",62689
"Not Dead After All",1,"Instant",B,"woe","101",common,b,Not Owned,,false,,,"","",116518
"Undying Evil",1,"Instant",B,"dka","77",common,b,Not Owned,,false,,,"","",43393
"Vampiric Tutor",1,"Instant",B,"vis","72",rare,b,Not Owned,,false,,,"","",7777
"Cabal Ritual",2,"Instant",B,"tor","51",common,b,Owned,Non-foil,false,,,"","",17191
"Infernal Grasp",2,"Instant",B,"mid","107",uncommon,b,Owned,Non-foil,false,,,"","",93174
"Long Goodbye",2,"Instant",B,"mkm","92",uncommon,b,Not Owned,,false,,,"","",121662
"Sheoldred's Edict",2,"Instant",B,"one","108",uncommon,b,Not Owned,,false,,,"","",106431
"Dismember",3,"Instant",B,"nph","57",uncommon,b,Not Owned,,false,,,"","",39944
"Saw in Half",3,"Instant",B,"unf","88",rare,b,Owned,Non-foil,false,,,"","",115698
"Snuff Out",4,"Instant",B,"mmq","162",common,b,Owned,Non-foil,false,,,"","",13495
"Bone Shards",1,"Sorcery",B,"mh2","395",common,b,Owned,Non-foil,false,,,"","",91063
"Duress",1,"Sorcery",B,"usg","132",common,b,Not Owned,,false,,,"","",12317
"Imperial Seal",1,"Sorcery",B,"ptk","78",rare,b,Not Owned,,false,,,"","",
"Inquisition of Kozilek",1,"Sorcery",B,"roe","115",uncommon,b,Not Owned,,false,,,"","",36360
"Mind Twist",1,"Sorcery",B,"lea","115",rare,b,Not Owned,,false,,,"","",
"Reanimate",1,"Sorcery",B,"tmp","151",uncommon,b,Not Owned,,false,,,"","",9989
"Thoughtseize",1,"Sorcery",B,"lrw","145",rare,b,Not Owned,,false,,,"","",28269
"Chainer's Edict",2,"Sorcery",B,"tor","57",uncommon,b,Not Owned,,false,,,"","",17205
"Collective Brutality",2,"Sorcery",B,"emn","85",rare,b,Not Owned,,false,,,"","",61144
"Demonic Tutor",2,"Sorcery",B,"lea","104",uncommon,b,Not Owned,,false,,,"","",
"Exhume",2,"Sorcery",B,"usg","134",common,b,Not Owned,,false,,,"","",11897
"Sinkhole",2,"Sorcery",B,"lea","129",common,b,Not Owned,,false,,,"","",
"Doomsday",3,"Sorcery",B,"wth","66",rare,b,Not Owned,,false,,,"","",9279
"Toxic Deluge",3,"Sorcery",B,"c13","96",rare,b,Not Owned,,false,,,"","",51366
"Yawgmoth's Will",3,"Sorcery",B,"usg","171",rare,b,Not Owned,,false,,,"","",12349
"Damnation",4,"Sorcery",B,"plc","85",rare,b,Not Owned,,false,,,"","",26279
"Mox Jet",0,"Artifact",B,"lea","262",rare,b,Not Owned,,false,,,"","",649
"Bolas's Citadel",6,"Legendary Artifact",B,"war","79",rare,b,Not Owned,,false,,,"","",71764
"Animate Dead",2,"Enchantment - Aura",B,"lea","92",uncommon,b,Not Owned,,false,,,"","",
"Bitterblossom",2,"Kindred Enchantment - Faerie",B,"mor","58",rare,b,Not Owned,,false,,,"","",29038
"Dance of the Dead",2,"Enchantment - Aura",B,"ice","118",uncommon,b,Not Owned,,false,,,"","",
"Necromancy",3,"Enchantment",B,"vis","64",uncommon,b,Not Owned,,false,,,"","",7649
"Recurring Nightmare",3,"Enchantment",B,"exo","72",rare,b,Not Owned,,false,,,"","",10583
"Yawgmoth's Bargain",6,"Enchantment",B,"uds","75",rare,b,Not Owned,,false,,,"","",12853
"Dragon's Rage Channeler",1,"Creature - Human Shaman",R,"mh2","121",uncommon,r,Owned,Non-foil,false,,,"","",90615
"Goblin Bushwhacker",1,"Creature - Goblin Warrior",R,"zen","125",common,r,Not Owned,,false,,,"","",34388
"Goblin Guide",1,"Creature - Goblin Scout",R,"zen","126",rare,r,Not Owned,,false,,,"","",34374
"Goblin Lackey",1,"Creature - Goblin",R,"usg","190",uncommon,r,Owned,Non-foil,false,,,"","",12403
"Goblin Welder",1,"Creature - Goblin Artificer",R,"ulg","80",rare,r,Not Owned,,false,,,"","",12561
"Monastery Swiftspear",1,"Creature - Human Monk",R,"ktk","118",uncommon,r,Not Owned,,false,,,"","",54108
"Ragavan, Nimble Pilferer",1,"Legendary Creature - Monkey Pirate",R,"mh2","138",mythic,r,Not Owned,,false,,,"","",90653
"Skirk Prospector",1,"Creature - Goblin",R,"ons","230",common,r,Not Owned,,false,,,"","",18053
"Stromkirk Noble",1,"Creature - Vampire Noble",R,"isd","164",rare,r,Not Owned,,false,,,"","",42554
"Eidolon of the Great Revel",2,"Enchantment Creature - Spirit",R,"jou","94",rare,r,Not Owned,,false,,,"","",52246
"Goblin Cratermaker",2,"Creature - Goblin Warrior",R,"grn","103",uncommon,r,Owned,Non-foil,false,,,"","",69579
"Goblin Recruiter",2,"Creature - Goblin",R,"vis","80",uncommon,r,Not Owned,,false,,,"","",7567
"Inti, Seneschal of the Sun",2,"Legendary Creature - Human Knight",R,"lci","156",rare,r,Not Owned,,false,,,"","",118132
"Lizard Blades",2,"Artifact Creature - Equipment Lizard",R,"neo","153",rare,r,Not Owned,,false,,,"","",97238
"Robber of the Rich",2,"Creature - Human Archer Rogue",R,"eld","138",mythic,r,Not Owned,,false,,,"","",78406
"Warren Instigator",2,"Creature - Goblin Berserker",R,"zen","154",mythic,r,Owned,Non-foil,false,,,"","",34642
"""Name Sticker" Goblin",3,"Creature - Goblin Guest",R,"unf","107m",common,r,Not Owned,,false,,,"","",115722
"Bonecrusher Giant",3,"Creature - Giant",R,"eld","115",rare,r,Not Owned,,false,,,"","",78352
"Broadside Bombardiers",3,"Creature - Goblin Pirate",R,"lcc","86",rare,r,Not Owned,,false,,,"","",119178
"Detective's Phoenix",3,"Enchantment Creature - Phoenix",R,"mh3","116",rare,r,Owned,Non-foil,false,,,"","",126249
"Goblin Rabblemaster",3,"Creature - Goblin Warrior",R,"m15","145",rare,r,Not Owned,,false,,,"","",53500
"Goblin Sharpshooter",3,"Creature - Goblin",R,"ons","207",rare,r,Owned,Non-foil,false,,,"","",18063
"Gut, True Soul Zealot",3,"Legendary Creature - Goblin Shaman",R,"clb","180",uncommon,r,Not Owned,,false,,,"","",100384
"Krenko, Tin Street Kingpin",3,"Legendary Creature - Goblin",R,"war","137",rare,r,Not Owned,,false,,,"","",71880
"Laelia, the Blade Reforged",3,"Legendary Creature - Spirit Warrior",R,"c21","53",rare,r,Not Owned,,false,,,"","",89849
"Seasoned Pyromancer",3,"Creature - Human Shaman",R,"mh1","145",mythic,r,Not Owned,,false,,,"","",72662
"Caves of Chaos Adventurer",4,"Creature - Human Barbarian",R,"clb","167",rare,r,Not Owned,,false,,,"","",100356
"Headliner Scarlett",4,"Legendary Creature - Human Warlock",R,"clu","4",rare,r,Not Owned,,false,,,"","",123418
"Krenko, Mob Boss",4,"Legendary Creature - Goblin Warrior",R,"j22","564",rare,r,Owned,Non-foil,false,,,"","",
"Pyrogoyf",4,"Creature - Lhurgoyf",R,"m3c","111",rare,r,Not Owned,,false,,,"","",127421
"Storm-Kiln Artist",4,"Creature - Dwarf Shaman",R,"otc","181",uncommon,r,Owned,Non-foil,false,,,"","",124821
"Fury",5,"Creature - Elemental Incarnation",R,"mh2","126",mythic,r,Not Owned,,false,,,"","",90629
"Karlach, Fury of Avernus",5,"Legendary Creature - Tiefling Barbarian",R,"clb","186",mythic,r,Not Owned,,false,,,"","",100396
"Kiki-Jiki, Mirror Breaker",5,"Legendary Creature - Goblin Shaman",R,"chk","175",rare,r,Not Owned,,false,,,"","",21021
"Siege-Gang Commander",5,"Creature - Goblin",R,"scg","103",rare,r,Not Owned,,false,,,"","",18820
"Terror of the Peaks",5,"Creature - Dragon",R,"m21","164",mythic,r,Not Owned,,false,,,"","",81555
"Zealous Conscripts",5,"Creature - Human Warrior",R,"tsr","354",special,r,Owned,Non-foil,false,,,"","",87085
"Muxus, Goblin Grandee",6,"Legendary Creature - Goblin Noble",R,"jmp","24",rare,r,Owned,Non-foil,false,,,"","",81795
"Chandra, Torch of Defiance",4,"Legendary Planeswalker - Chandra",R,"kld","110",mythic,r,Not Owned,,false,,,"","",61573
"Daretti, Scrap Savant",4,"Legendary Planeswalker - Daretti",R,"c14","33",mythic,r,Not Owned,,false,,,"","",55115
"Lightning Bolt",1,"Instant",R,"lea","161",common,r,Not Owned,,false,,,"","",
"Abrade",2,"Instant",R,"hou","83",uncommon,r,Not Owned,,false,,,"","",64650
"Desperate Ritual",2,"Instant - Arcane",R,"chk","163",common,r,Not Owned,,false,,,"","",21529
"Price of Progress",2,"Instant",R,"exo","95",uncommon,r,Not Owned,,false,,,"","",10563
"Pyretic Ritual",2,"Instant",R,"m11","153",common,r,Not Owned,,false,,,"","",37468
"Seething Song",3,"Instant",R,"mrd","104",common,r,Owned,Non-foil,false,,,"","",19991
"Through the Breach",5,"Instant - Arcane",R,"chk","193",rare,r,Not Owned,,false,,,"","",21519
"Chain Lightning",1,"Sorcery",R,"jmp","302",uncommon,r,Not Owned,,false,,,"","",
"Faithless Looting",1,"Sorcery",R,"dka","87",common,r,Not Owned,,false,,,"","",43267
"Rite of Flame",1,"Sorcery",R,"csp","96",common,r,Not Owned,,false,,,"","",24675
"Rift Bolt",3,"Sorcery",R,"tsp","176",common,r,Not Owned,,false,,,"","",25477
"Wheel of Fortune",3,"Sorcery",R,"lea","183",rare,r,Not Owned,,false,,,"","",
"Empty the Warrens",4,"Sorcery",R,"tsp","152",common,r,Not Owned,,false,,,"","",25535
"Fiery Confluence",4,"Sorcery",R,"c15","26",rare,r,Owned,Non-foil,false,,,"","",
"Ruination",4,"Sorcery",R,"sth","95",rare,r,Owned,Non-foil,false,,,"","",10353
"Mox Ruby",0,"Artifact",R,"lea","264",rare,r,Not Owned,,false,,,"","",653
"Embercleave",6,"Legendary Artifact - Equipment",R,"eld","120",mythic,r,Not Owned,,false,,,"","",78364
"Impending Disaster",2,"Enchantment",R,"ulg","82",rare,r,Owned,Non-foil,false,,,"","",12485
"Roiling Vortex",2,"Enchantment",R,"znr","156",rare,r,Not Owned,,false,,,"","",83287
"Underworld Breach",2,"Enchantment",R,"thb","161",rare,r,Not Owned,,false,,,"","",79446
"Blood Moon",3,"Enchantment",R,"drk","58",rare,r,Not Owned,,false,,,"","",
"Fable of the Mirror-Breaker",3,"Enchantment - Saga",R,"neo","141",rare,r,Not Owned,,false,,,"","",97210
"Spellshock",3,"Enchantment",R,"exo","104",uncommon,r,Not Owned,,false,,,"","",10623
"Sneak Attack",4,"Enchantment",R,"usg","218",rare,r,Not Owned,,false,,,"","",12399
"Fiery Emancipation",6,"Enchantment",R,"m21","143",mythic,r,Owned,Non-foil,false,,,"","",81513
"Arbor Elf",1,"Creature - Elf Druid",G,"wwk","95",common,g,Not Owned,,false,,,"","",35773
