oracle_id,elo,mainboard,pickrate,picks,mainboards,name,mana_cost,type_line,oracle_text,set_name,rarity,colors,power,toughness,loyalty,flavor_text,artist,illustration_id
2b8afa9f-4236-4c02-a8d5-3c145caecfd6,892,0.0,0.0588235294117647,9,0,Rift Bolt,{2}{R},Sorcery,"Rift Bolt deals 3 damage to any target.
Suspend 1—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)",The List,common,R,,,,,Michael Sutfin,90f8442e-bc89-448d-8019-a34988b80160
7cafc972-a6f5-4cac-a3d3-8a3ae36ffb1e,1454,0.5,0.1129032258064516,14,2,Upheaval,{4}{U}{U},Sorcery,Return all permanents to their owners' hands.,Modern Horizons 2,rare,U,,,,The calm comes after the storm.,Kev Walker,9fed2495-3783-4a95-8582-8741739eefc7
1ff25f67-36a7-4cfa-a2b1-2135b5b6fb67,1238,1.0,0.0392156862745098,6,3,Scavenging Ooze,{1}{G},Creature — Ooze,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",Magic Online Promos,rare,G,2,2,,"In nature, not a single bone or scrap of flesh goes to waste.",Austin Hsu,41b9c15f-47c8-49f6-9c93-7092da0ab89b
7514e401-7aa1-405d-9f7a-312b4e630cc2,852,0.0,0.017094017094017,2,0,"Etali, Primal Conqueror // Etali, Primal Sickness",,Legendary Creature — Elder Dinosaur // Legendary Creature — Phyrexian Elder Dinosaur,,March of the Machine Promos,rare,,,,,,Ryan Pancoast,
09dd85aa-47bc-4713-a9b9-8b52ff2285ed,1558,0.75,0.1290322580645161,8,3,Misty Rainforest,,Land,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.",Magic Online Promos,rare,,,,,,Shelly Wan,90d219d1-9240-4258-a7ff-d450504ddec2
17039058-822d-409f-938c-b727a366ba63,1128,0.0,0.0888888888888888,8,0,Steam Vents,,Land — Island Mountain,"({T}: Add {U} or {R}.)
As Steam Vents enters, you may pay 2 life. If you don't, it enters tapped.",Ravnica: Clue Edition,rare,,,,,,Lucas Graciano,2a95dd33-6dfa-4ff8-a6ae-97872a938be5
74c0164c-130f-4572-9066-626c77f6e2ff,1284,0.5714285714285714,0.1563636363636363,43,8,Barrowgoyf,{2}{B},Creature — Lhurgoyf,"Deathtouch, lifelink
Barrowgoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
Whenever Barrowgoyf deals combat damage to a player, you may mill that many cards. If you do, you may put a creature card from among them into your hand.",Modern Horizons 3 Commander,rare,B,*,1+*,,,Igor Kieryluk,ff78f340-2cd7-4a96-96c0-bf5f454f5a00
e4d2dcbb-9910-482e-9e46-dfed2097509b,1260,1.0,0.074074074074074,8,4,Caves of Chaos Adventurer,{3}{R},Creature — Human Barbarian,"Trample
When Caves of Chaos Adventurer enters, you take the initiative.
Whenever Caves of Chaos Adventurer attacks, exile the top card of your library. If you've completed a dungeon, you may play that card this turn without paying its mana cost. Otherwise, you may play that card this turn.",Battle for Baldur's Gate Promos,rare,R,5,3,,,Marcela Medeiros,e76d2d2e-3c45-478d-91e2-2e0deec9e4ad
aa854d50-444c-49d9-bfb1-5476b33c1c0b,1258,0.8571428571428571,0.0853658536585365,14,6,Scute Swarm,{2}{G},Creature — Insect,"Landfall — Whenever a land you control enters, create a 1/1 green Insect creature token. If you control six or more lands, create a token that's a copy of Scute Swarm instead.",Modern Horizons 3 Commander,rare,G,1,1,,"""Survival rule 782: There are *always* more scute bugs.""
—Zurdi, goblin shortcutter",Alex Konstad,0102c697-88c8-417b-b734-463458284119
c85d824b-c190-4d04-ab99-918ad0e6516c,1188,1.0,0.056338028169014,8,3,Endurance,{1}{G}{G},Creature — Elemental Incarnation,"Flash
Reach
When Endurance enters, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order.
Evoke—Exile a green card from your hand.",Special Guests,mythic,G,3,4,,,Campbell White,40b4043d-6c14-4e10-ab6d-2a14331c78de
a6abb6af-7ea2-43f3-8718-2a077ad0c947,1052,0.4285714285714285,0.0729166666666666,14,3,"Ob Nixilis, the Adversary",{1}{B}{R},Legendary Planeswalker — Nixilis,"Casualty X. The copy isn't legendary and has starting loyalty X. (As you cast this spell, you may sacrifice a creature with power X. When you do, copy this spell. The copy becomes a token.)
+1: Each opponent loses 2 life unless they discard a card. If you control a Demon or Devil, you gain 2 life.
−2: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target.""
−7: Target player draws seven cards and loses 7 life.",Magic Online Promos,mythic,"B,R",,,3,,Tom Roberts,807aeec1-82bc-4dcb-9260-e23e6459afd9
032b8a0d-491a-4a12-ab9f-689010054d5b,992,0.0,0.0285714285714285,2,0,Prismatic Vista,,Land,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle.",Magic Online Promos,rare,,,,,There is beauty in the uncertainty of potential.,Sam Burley,19068744-9415-41de-82ef-f54e24335efb
9b7f1d05-707c-4ed3-9f0e-8ced1232c2ee,1316,1.0,0.1013513513513513,15,4,"Thalia, Guardian of Thraben",{1}{W},Legendary Creature — Human Soldier,"First strike
Noncreature spells cost {1} more to cast.",Multiverse Legends,rare,W,2,1,,"No stranger to monstrous foes, Thalia marshaled surviving cathars, townspeople, and even ghoulcallers into an unbreakable fighting force.",Joshua Alvarado,c95c8248-678e-4048-9a6e-e655e655cd9f
d3b2d8a2-d3bc-448c-9cf6-6bead6010c28,1434,0.6153846153846154,0.1773049645390071,50,8,"Bristly Bill, Spine Sower",{1}{G},Legendary Creature — Plant Druid,"Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature.
{3}{G}{G}: Double the number of +1/+1 counters on each creature you control.",Outlaws of Thunder Junction Promos,mythic,G,2,2,,"""Wake up, little ones. There's a new day ahead.""",Daniel Zrom,b78f91ad-e7a2-4d27-8c61-97e62980d565
7798a4d9-1c1d-48e6-b9a2-ecd6aec1efa7,1212,0.0,0.168,21,0,Palantír of Orthanc,{3},Legendary Artifact,"At the beginning of your end step, put an influence counter on Palantír of Orthanc and scry 2. Then target opponent may have you draw a card. If that player doesn't, you mill X cards, where X is the number of influence counters on Palantír of Orthanc, and that player loses life equal to the total mana value of those cards.",The Lord of the Rings: Tales of Middle-earth,mythic,,,,,,Tatiana Veryayskaya,4673e7e0-a206-4f63-93f1-213f1bf269e5
38515f89-348b-4cf3-b7bd-1f6fe4ce2fba,1060,1.0,0.0821917808219178,12,1,"Adeline, Resplendent Cathar",{1}{W}{W},Legendary Creature — Human Knight,"Vigilance
Adeline, Resplendent Cathar's power is equal to the number of creatures you control.
Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.",March of the Machine Commander,rare,W,*,4,,,Bryan Sola,16897819-930c-47ba-acab-6a07940f077d
13ff3222-91cb-4796-a34e-899ed817694c,900,0.25,0.0423728813559322,5,1,Badlands,,Land — Swamp Mountain,({T}: Add {B} or {R}.),30th Anniversary Edition,rare,,,,,,Rob Alexander,669aded5-981a-45ab-9e4e-5864a91c71e5
d57a8f0b-7989-4db5-8756-6f2690097252,1204,1.0,0.064,8,3,Damnation,{2}{B}{B},Sorcery,Destroy all creatures. They can't be regenerated.,Magic Online Promos,rare,B,,,,"Their bodies rotted, their bones splintered, and their souls frayed to tatters. Only then were they granted the mercy of death.",Ian Miller,8d63640a-8380-42bd-83ac-2f628583ab68
6c1d22d4-f28e-4041-a9b6-1575e8929b61,1456,1.0,0.1726618705035971,24,4,Nexus of Fate,{5}{U}{U},Instant,"Take an extra turn after this one.
If Nexus of Fate would be put into a graveyard from anywhere, reveal Nexus of Fate and shuffle it into its owner's library instead.",The List,mythic,U,,,,Sarkhan wandered into a tomb and back in time.,Mike Bierek,bd8f0d5b-9045-4156-90da-f60b3b8e2d7a
3407fe41-fdd3-4119-8f70-4bc4590a379f,906,1.0,0.0838709677419354,13,3,Negate,{1}{U},Instant,Counter target noncreature spell.,March of the Machine,common,U,,,,Teferi gave them time. Karn gave them a chance. But it was Melira who paid the ultimate price to free Ajani from Phyrexia's grasp.,Viko Menezes,a2b79ac9-c348-4366-8866-5f9e16eca585
975ec9a3-6f20-4177-8211-82526e092538,1162,1.0,0.0522875816993464,8,3,Overgrown Tomb,,Land — Swamp Forest,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters, you may pay 2 life. If you don't, it enters tapped.",Ravnica: Clue Edition,rare,,,,,,Chris Ostrowski,4f13237b-8438-4790-ac2d-c62532c966e3
33869ba6-13e5-4e48-8963-92f7965648fb,1168,1.0,0.0833333333333333,15,4,Felidar Guardian,{3}{W},Creature — Cat Beast,"When Felidar Guardian enters, you may exile another target permanent you control, then return that card to the battlefield under its owner's control.",Secret Lair Drop,rare,W,1,4,,"Evading a felidar guardian is possible only with audacity, luck, and a warm sunbeam.",Rowynn Ellis,cc5c2903-5000-4396-bc08-4486006749da
1f438b8f-fe23-4f3b-ab2e-f6c33676c462,770,0.0,0.0279720279720279,4,0,Opposition Agent,{2}{B},Creature — Human Rogue,"Flash
You control your opponents while they're searching their libraries.
While an opponent is searching their library, they exile each card they find. You may play those cards for as long as they remain exiled, and you may spend mana as though it were mana of any color to cast them.",Commander Legends Promos,rare,B,3,2,,,Scott Murphy,4bafb864-ffab-4f00-a63d-a762b62736cb
ec3471ad-b65c-4e35-a7d1-68da9555a9ec,1222,0.0,0.0473372781065088,8,0,Ethersworn Canonist,{1}{W},Artifact Creature — Human Cleric,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.,Mystery Booster 2,rare,W,2,2,,"""The noble work of our order is to infuse all life on Esper with etherium. Our goal will be reached more rapidly if new life is . . . suppressed.""",Izzy,6f18626c-aeb9-4cef-96a4-34e2d53e1cb9
8ed57194-7508-4aef-9373-64f7e80612d8,1296,0.0,0.110091743119266,12,0,Treachery,{3}{U}{U},Enchantment — Aura,"Enchant creature
When Treachery enters, untap up to five lands.
You control enchanted creature.",Urza's Destiny,rare,U,,,,"""The academy educates; I employ. It's a perfect arrangement.""
—Gatha, Tolarian renegade",Matthew D. Wilson,92c32033-063d-4ae4-af68-41b176dd9d3b
d36e0c9f-c025-4dfe-9644-9cad2461ce38,674,1.0,0.0070921985815602,1,1,Gruul Signet,{2},Artifact,"{1}, {T}: Add {R}{G}.",Bloomburrow Commander,uncommon,,,,,"Gruul territorial markings need not be legible. The blood, snot, and muck used to smear them are unmistakably Gruul.",Efrem Palacios,a1dfaef0-fcc0-452b-b990-8a47b07f6703
73864fcc-1bde-4bc0-831e-2b93e546e417,772,0.0,0.04,7,0,Godless Shrine,,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As Godless Shrine enters, you may pay 2 life. If you don't, it enters tapped.",Ravnica: Clue Edition,rare,,,,,,Piotr Dura,24b7bec4-b227-4708-afb7-daf0a082fa0a
f6314e50-a610-4fff-8f60-803d23460ff0,1056,0.0,0.0773195876288659,15,0,Lizard Blades,{1}{R},Artifact Creature — Equipment Lizard,"Double strike
Equipped creature has double strike.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Magic Online Promos,rare,R,1,1,,,Jason Kang,2eb195f1-2eab-4992-9146-4241bd273630
0b8c3337-04dd-4798-8203-6d8b8cfb936b,756,1.0,0.0348837209302325,6,1,Lingering Souls,{2}{W},Sorcery,"Create two 1/1 white Spirit creature tokens with flying.
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Shadows of the Past,uncommon,W,,,,,Bud Cook,1541a315-1b23-418f-b291-2c8f60740935
bf1341dd-41a3-49f6-87ec-63170dde4324,936,1.0,0.0232558139534883,3,2,"Boseiju, Who Endures",,Legendary Land,"{T}: Add {G}.
Channel — {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.",Magic Online Promos,rare,,,,,,Chris Ostrowski,fecffc00-411c-4e85-b595-2ca0e4cb672b
0fd57894-b917-41c8-a394-360d1d31b236,1260,0.0,0.1027027027027027,19,0,Ephemerate,{W},Instant,"Exile target creature you control, then return it to the battlefield under its owner's control.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",Magic Online Promos,rare,W,,,,,Bastien L. Deharme,5d67871c-44c1-43f8-95f0-1e06e3a3e92c
0c23fefe-9891-4dd8-9bb1-eebdb3274e31,1380,1.0,0.1451612903225806,27,12,Bloom Tender,{1}{G},Creature — Elf Druid,"{T}: For each color among permanents you control, add one mana of that color.",Magic Online Promos,rare,G,1,1,,"""What, these old things? They were just lying around, gathering dust. I figured I might as well put them to use.""",Scott M. Fischer,6136c5d6-49d6-4b70-a991-3279f09fa092
f3abd4d1-a975-4e85-8684-aa0fce029670,1100,0.0,0.0903225806451612,14,0,Grave Titan,{4}{B}{B},Creature — Giant,"Deathtouch
Whenever Grave Titan enters or attacks, create two 2/2 black Zombie creature tokens.",Fallout,mythic,B,6,6,,,Mark Poole,77f352ea-2536-4c43-a1ea-19f01ea7a925
3bc8a406-3ae7-4f56-a33c-b4a2c115b917,1098,0.0,0.0733333333333333,11,0,Stern Scolding,{U},Instant,Counter target creature spell with power or toughness 2 or less.,The Lord of the Rings: Tales of Middle-earth,uncommon,U,,,,"""Fool of a Took! This is a serious journey, not a Hobbit walking-party. Throw yourself in next time, and then you will be no further nuisance. Now be quiet!""",Valera Lutfullina,ce00f957-f2cd-4b68-a114-778303930a0a
d64e9152-ef24-4394-aeb0-9c3befc56549,1134,0.0,0.0730337078651685,13,0,Altar of Dementia,{2},Artifact,Sacrifice a creature: Target player mills cards equal to the sacrificed creature's power.,The Brothers' War Retro Artifacts,mythic,,,,,"""My dreams have brought more visions from our master: an altar, exquisite and perfect. We must build it at once.""
—Writings of Artonac, priest of Gix",Isis,ce8f401c-be94-4b7e-a881-a93903fcd07d
f1750962-a87c-49f6-b731-02ae971ac6ea,1304,0.5,0.0849056603773584,9,1,Hallowed Fountain,,Land — Plains Island,"({T}: Add {W} or {U}.)
As Hallowed Fountain enters, you may pay 2 life. If you don't, it enters tapped.",Ravnica: Clue Edition,rare,,,,,,Leon Tukker,27230a7e-71f4-4e7e-a123-d47002bfbb29
7bc4c7e2-6758-4a85-84e7-03ab93981106,1178,0.5,0.1136363636363636,30,6,"Tinybones, the Pickpocket",{B},Legendary Creature — Skeleton Rogue,"Deathtouch
Whenever Tinybones, the Pickpocket deals combat damage to a player, you may cast target nonland permanent card from that player's graveyard, and mana of any type can be spent to cast that spell.",Outlaws of Thunder Junction Promos,mythic,B,1,1,,,Ekaterina Burmak,6d18b77c-5e00-4ade-8bf7-a01870554a99
6e9ef5ef-6aed-4d3e-a59b-9e3dc8740b1b,1180,1.0,0.0924369747899159,11,1,Raffine's Tower,,Land — Plains Island Swamp,"({T}: Add {W}, {U}, or {B}.)
Raffine's Tower enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Magic Online Promos,rare,,,,,,Dominik Mayer,1b0c3b05-ebda-40ad-9c32-cb8eadfbb7e3
ed7bdb3e-5c51-4547-9266-76a791e0b2b0,1062,0.0,0.0542168674698795,9,0,Humility,{2}{W}{W},Enchantment,All creatures lose all abilities and have base power and toughness 1/1.,Tempest Remastered,mythic,W,,,,"""One cannot cleanse the wounds of failure.""
—Karn, silver golem",Phil Foglio,4aed7244-448e-45ab-a0f8-129943fdb8c6
70486bee-6ee7-41ea-b834-8caf4699302b,1002,0.0,0.0873015873015873,11,0,Daze,{1}{U},Instant,"You may return an Island you control to its owner's hand rather than pay this spell's mana cost.
Counter target spell unless its controller pays {1}.",Mystery Booster 2,uncommon,U,,,,,Min Yum,d81b9c1c-f267-4008-acaf-9f1b4dbd261b
0c85b8f7-0bd0-4680-9ec5-d4b110460a54,1356,0.0,0.1138211382113821,14,0,Fabled Passage,,Land,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",Bloomburrow Promos,rare,,,,,Beyond Valley lies danger—and promise.,Adam Paquette,9c871c61-4ed2-425f-b817-99ccfa1411f2
05e9b55e-6329-48ec-b7d7-24c6b9692244,884,0.0,0.1041666666666666,25,0,"Nicol Bolas, Planeswalker",{4}{U}{B}{B}{R},Legendary Planeswalker — Bolas,"+3: Destroy target noncreature permanent.
−2: Gain control of target creature.
−9: Nicol Bolas, Planeswalker deals 7 damage to target player or planeswalker. That player or that planeswalker's controller discards seven cards, then sacrifices seven permanents.",Secret Lair Drop,mythic,"B,R,U",,,5,,Aaron J. Riley & Scott Okumura,419bc9b5-0485-48c1-abc6-9b9182f7eea8
0c4bc9ea-a5fd-4f44-96a1-5448eee228c4,730,0.0,0.0180722891566265,3,0,Collector Ouphe,{1}{G},Creature — Ouphe,Activated abilities of artifacts can't be activated.,Mystery Booster 2,rare,G,2,2,,"""He steals power from treasure after treasure, and what does it do for the ouphe? Nothing.""
—Jhoira",Filip Burburan,8d6cf02c-f6ba-4fc0-8d64-6c61bd190d0d
e9da499c-fa43-4e94-8395-5c030ff39502,1320,1.0,0.1058823529411764,18,5,Price of Progress,{1}{R},Instant,Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.,The List,uncommon,R,,,,Man versus nature is not a fair fight.,Richard Kane Ferguson,892647a0-0d98-4647-96b3-3d21f29c81f6
0e26b429-0469-474a-818a-2d4696c38a05,1154,0.2857142857142857,0.0718562874251497,12,2,Samwise the Stouthearted,{1}{W},Legendary Creature — Halfling Peasant,"Flash
When Samwise the Stouthearted enters, choose up to one target permanent card in your graveyard that was put there from the battlefield this turn. Return it to your hand. Then the Ring tempts you.",The Lord of the Rings: Tales of Middle-earth,uncommon,W,2,1,,,Marko Manev,68071571-8717-4a5f-8be4-6784809364c9
6bae00e8-06cf-4ac4-a1cc-757e454109fe,1066,1.0,0.1052631578947368,12,1,Ketria Triome,,Land — Forest Island Mountain,"({T}: Add {G}, {U}, or {R}.)
Ketria Triome enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",The List,rare,,,,,"Nowhere on Ikoria are monsters more integral to the landscape than Ketria, where the river itself will stand up and roar.",Sam Burley,79b30853-3e97-4c18-bd8e-e7f5495c11a1
d1a60f44-7696-49ee-91fb-cab5b3102962,1296,0.0,0.0820895522388059,11,0,Wurmcoil Engine,{6},Artifact Creature — Phyrexian Wurm,"Deathtouch, lifelink
When Wurmcoil Engine dies, create a 3/3 colorless Phyrexian Wurm artifact creature token with deathtouch and a 3/3 colorless Phyrexian Wurm artifact creature token with lifelink.",Secret Lair Drop,mythic,,6,6,,In case of abject terror: cover head and hope for best.,Gomzé,ede0b194-8f76-4fe6-abd2-30ce474fee05
15d5b198-edbe-40f3-87e2-d72f7f0c58ab,1156,1.0,0.0985915492957746,14,7,Dance of the Dead,{1}{B},Enchantment — Aura,"Enchant creature card in a graveyard
When Dance of the Dead enters, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Dance of the Dead."" Put enchanted creature card onto the battlefield tapped under your control and attach Dance of the Dead to it. When Dance of the Dead leaves the battlefield, that creature's controller sacrifices it.
Enchanted creature gets +1/+1 and doesn't untap during its controller's untap step.
At the beginning of the upkeep of enchanted creature's controller, that player may pay {1}{B}. If the player does, untap that creature.",Masters Edition II,uncommon,B,,,,,Randy Gallegos,f656af0a-f54a-430a-b39f-319ae7ee5ced
c396db03-bf11-4e20-b630-4f9aa8fd78da,1540,1.0,0.140625,18,9,The Mightstone and Weakstone,{5},Legendary Artifact — Powerstone,"When The Mightstone and Weakstone enters, choose one —
• Draw two cards.
• Target creature gets -5/-5 until end of turn.
{T}: Add {C}{C}. This mana can't be spent to cast nonartifact spells.
(Melds with Urza, Lord Protector.)",The Brothers' War Promos,rare,,,,,,Ryan Pancoast,f8e05098-615d-4720-b674-d3323fd23118
3bc757c1-3adb-4321-8832-8e1cc9e687f7,1064,0.0,0.0941176470588235,16,0,Lurrus of the Dream-Den,{1}{W/B}{W/B},Legendary Creature — Cat Nightmare,"Companion — Each permanent card in your starting deck has mana value 2 or less. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)
Lifelink
Once during each of your turns, you may cast a permanent spell with mana value 2 or less from your graveyard.",Multiverse Legends,rare,"B,W",3,2,,,Steve Ellis,3ae62020-51a3-4244-ab41-4fe857282387
e6e4a8bd-5c40-4654-8de1-0da9afed90fd,1232,0.0,0.0828025477707006,13,0,Regrowth,{1}{G},Sorcery,Return target card from your graveyard to your hand.,30th Anniversary Edition,uncommon,G,,,,,Dameon Willich,ac024ad8-f00d-4b5f-b81b-71ebbb2476a2
bffdfe7b-f17a-41b6-a460-80280fe497d4,1264,0.3333333333333333,0.1262458471760797,38,4,Collective Resistance,{1}{G},Instant,"Escalate {G} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Destroy target artifact.
• Destroy target enchantment.
• Target creature gains hexproof and indestructible until end of turn.",Modern Horizons 3,uncommon,G,,,,,Raoul Vitale,1c6017c6-e67e-4d28-8873-714a7e98c1ba
00625242-9348-4ef4-b975-f2ac82fee21d,1064,0.5,0.1063829787234042,20,3,Savai Triome,,Land — Mountain Plains Swamp,"({T}: Add {R}, {W}, or {B}.)
Savai Triome enters tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Magic Online Promos,rare,,,,,,Robbie Trevino,a4e38f78-f3ca-4811-9891-8f3872a55be8
33c722cf-b4bf-431f-aefd-ee96241a7fbf,1336,0.5714285714285714,0.1071428571428571,15,4,Crucible of Worlds,{3},Artifact,You may play lands from your graveyard.,Fallout,mythic,,,,,,AKQA,7ebbb5dd-5cae-410e-ac4c-122a8b93ad86
f1c2dbe2-fbe0-4058-bdf1-91d1b1832786,1220,1.0,0.1203007518796992,16,3,Dauthi Voidwalker,{B}{B},Creature — Dauthi Rogue,"Shadow (This creature can block or be blocked by only creatures with shadow.)
If a card would be put into an opponent's graveyard from anywhere, instead exile it with a void counter on it.
{T}, Sacrifice Dauthi Voidwalker: Choose an exiled card an opponent owns with a void counter on it. You may play it this turn without paying its mana cost.",Magic Online Promos,rare,B,3,2,,,Sidharth Chaturvedi,3813d292-a890-43bd-9335-3730ade93aa1
dafd2713-d1bc-474b-b390-d2ff20b5375e,1114,0.0,0.0443037974683544,7,0,Monastery Swiftspear,{R},Creature — Human Monk,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",Store Championships,rare,R,1,2,,,Francisco Miyara,fa091231-88ba-4fc8-982b-e92409b708de
1861e642-21d5-4232-89f3-b5557f2946c1,968,0.25,0.0446927374301676,8,1,Phyrexian Tower,,Legendary Land,"{T}: Add {C}.
{T}, Sacrifice a creature: Add {B}{B}.",Modern Horizons 3,mythic,,,,,,Yohann Schepacz,67069602-fcaa-4070-93d2-d929f8595985
d5d91377-fd66-4dbe-a092-07f2ea379ca7,672,1.0,0.023391812865497,4,1,"Leovold, Emissary of Trest",{B}{G}{U},Legendary Creature — Elf Advisor,"Each opponent can't draw more than one card each turn.
Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card.",The List,mythic,"B,G,U",3,3,,"""I'm sure we can come to an arrangement.""",Magali Villeneuve,a98039f5-c10a-4228-a054-c32d3363293c
